,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
192,United Kingdom,GB,2012.0,"241,930","63,448,099",0.68,0.4,262.3,"252,407",2,12.8,0.97,81,4.1,8.8,"560,518",2.8,"176,823",104.56666666666666,42.94444444444444,82.4,88.53333333333333,103.12222222222222,95.2,Europe,H
193,United States,US,2012.0,"9,151,125","313,877,662",0.74,0.45,34.3,"1,409,557",--,12.6,--,--,--,8.1,"2,543,284",2.7,"859,362",89.79285714285713,48.13928571428572,74.78928571428571,82.19642857142857,73.57857142857142,117.26428571428572,North America,H
194,Uruguay,UY,2012.0,"175,015","3,318,165",0.25,0.4,19,"13,103",1.87,13.4,0.92,76.6,9.7,9.5,"31,362",-1.5,"-4,800",83.6,26.2,62.9,66.7,68.8,30.2,South America,H
195,Vietnam,VN,2012.0,"310,070","92,697,293",1.24,1.27,299,"1,179,505",2.05,18.2,0.97,74,17.6,5.5,"509,176",-0.3,"-31,090",44.45,35.3,41.15,49.400000000000006,27.95,33.0,Asia,LM
196,Albania,AL,2013.0,"27,398","3,017,282",0.32,0.65,110.1,"19,500",1.49,12.5,0.71,78.6,11.8,6.1,"18,263",-3.3,"-10,000",53.6,12.0,33.7,46.3,37.7,32.0,Europe,UM
197,Angola,AO,2013.0,"1,246,700","25,353,587",3.75,3.59,20.3,"910,439",6.39,46.2,3.15,58.6,75.1,10.3,"261,569",1.6,"40,195",152.2,140.4,146.5,174.6,120.3,49.6,Africa,UM
198,Argentina,AR,2013.0,"2,736,690","42,635,451",1,1.01,15.6,"428,806",2.34,17.7,1.14,76.5,10.9,7.6,"325,797",-0.1,"-4,678",70.45,18.3,45.400000000000006,63.9,64.3,51.150000000000006,South America,UM
199,Armenia,AM,2013.0,"28,203","3,064,086",-0.1,0.49,108.6,"15,103",1.63,14.2,0.76,73.9,14.8,9.3,"28,394",-6,"-18,249",51.3,18.9,35.7,35.2,48.3,21.7,Asia,LM
200,Australia,AU,2013.0,"7,682,300","22,946,421",1.6,0.7,3,"160,387",1.89,13.4,0.92,82.3,3.5,6.4,"147,678",9,"206,190",130.20999999999998,69.52000000000001,101.1,123.46,118.82,101.87,Oceania,H
201,Austria,AT,2013.0,"82,445","8,562,327",0.64,0,103.9,-87,1.44,9.3,0.7,81.2,3.5,9.3,"79,845",6.4,"54,728",92.85,38.05,66.55,86.7,75.5,92.85,Europe,H
202,Azerbaijan,AZ,2013.0,"82,629","9,752,254",1.36,1.34,118,"130,396",2.22,19.7,1.03,74,11,6.3,"61,205",0.2,"2,348",78.2,41.9,60.8,67.9,64.8,20.5,Asia,UM
203,Bahrain,BH,2013.0,760,"1,281,297",2.56,1.15,"1,685.90","14,735",1.83,14.1,0.9,78.5,11.9,2.6,"3,382",14.1,"18,100",90.5,31.2,62.0,113.4,76.7,72.5,Asia,H
204,Bangladesh,BD,2013.0,"130,170","151,383,334",1.05,1.44,"1,163.00","2,186,416",2.29,19.7,1.12,72.4,37.6,5.3,"796,335",-4,"-603,105",48.5,9.6,29.8,45.3,27.2,38.4,Asia,L
205,Belarus,BY,2013.0,"202,900","9,655,326",0.05,-0.08,47.6,"-7,339",1.63,12.2,0.79,72.7,2.9,13,"125,290",1.2,"11,644",51.4,15.1,34.0,42.5,59.2,29.1,Europe,UM
206,Belgium,BE,2013.0,"30,278","11,147,559",0.79,0.16,368.2,"17,681",1.79,11.5,0.87,80.4,3.5,9.9,"110,045",6.3,"70,588",113.95,41.85,79.3,95.5,118.2,93.0,Europe,H
207,Botswana,BW,2013.0,"566,730","2,078,279",1.63,1.32,3.7,"27,480",2.77,23.8,1.36,60.8,34.7,10.5,"21,900",3.1,"6,397",53.0,16.2,35.3,47.2,37.7,55.8,Africa,UM
208,Brazil,BR,2013.0,"8,358,140","203,079,584",0.85,0.84,24.3,"1,703,540",1.74,14.4,0.85,74.5,15.5,6,"1,213,113",0.1,"15,178",72.52000000000001,24.66,49.57,55.36,53.86,53.010000000000005,South America,UM
209,Bulgaria,BG,2013.0,"108,489","7,267,962",-0.53,-0.52,67,"-37,651",1.44,9.2,0.7,74.2,8.9,14.4,"104,345",-0.2,"-1,108",53.2,12.95,33.900000000000006,46.75,38.55,39.05,Europe,UM
210,Cambodia,KH,2013.0,"176,515","14,807,531",1.08,1.93,83.9,"285,984",2.68,25.5,1.31,68.1,36.7,6.2,"91,562",-8.5,"-126,457",57.9,14.3,37.0,66.3,27.5,15.4,Asia,L
211,Canada,CA,2013.0,"9,093,507","35,386,802",1.17,0.36,3.9,"127,985",1.6,10.8,0.78,83.2,4.9,7.1,"252,338",8,"284,323",100.06875,40.575,71.53125,102.4125,84.6125,107.59375,North America,H
212,Chile,CL,2013.0,"743,812","17,217,196",0.86,0.82,23.1,"141,948",1.85,14.1,0.91,78.3,7.5,5.9,"100,683",0.4,"6,000",68.9,22.9,46.8,57.3,56.6,53.9,South America,H
213,China,CN,2013.0,"9,326,410","1,362,866,209",0.46,0.48,146.1,"6,508,305",1.46,11.6,0.68,76.2,10.6,6.8,"9,272,652",-0.2,"-213,000",75.15,34.5,55.65,82.3,46.4,37.05,Asia,UM
214,Colombia,CO,2013.0,"1,038,700","44,640,800",0.54,1.11,43,"495,467",1.98,16.4,0.96,76.6,13.7,5.3,"234,199",-5.7,"-256,267",60.95,17.0,39.85,53.3,40.0,30.35,South America,UM
215,Costa Rica,CR,2013.0,"51,060","4,712,629",1.23,1.07,92.3,"50,315",1.8,15,0.88,78.8,8.4,4.3,"20,235",1.6,"7,536",70.5,22.4,47.4,77.3,56.0,38.1,North America,UM
216,Croatia,HR,2013.0,"55,974","4,375,160",-0.35,-0.24,78.2,"-10,447",1.37,9.1,0.66,75.4,9.6,11.5,"50,386",-1.1,"-4,884",74.16666666666667,16.933333333333334,46.7,65.16666666666667,52.73333333333333,46.36666666666667,Europe,H
217,Cyprus,CY,2013.0,"9,241","1,155,556",1.53,0.5,125,"5,734",1.46,11.4,0.71,78.2,9.9,6.5,"7,487",10.3,"11,916",101.45,26.85,65.65,87.65,104.95,71.25,Europe,H
218,Denmark,DK,2013.0,"42,434","5,617,172",0.47,0.06,132.4,"3,402",1.67,10,0.82,80.2,3.4,9.3,"52,471",4.1,"22,802",125.0,50.0,89.0,109.9,139.10000000000002,97.25,Europe,H
219,Dominican Republic,DO,2013.0,"48,320","9,803,276",1.13,1.36,202.9,"133,454",2.4,20,1.18,69.8,26.2,6.4,"62,904",-2.3,"-22,613",63.4,16.6,41.0,63.2,43.0,51.9,North America,UM
220,Ecuador,EC,2013.0,"248,360","15,659,275",1.43,1.64,63.1,"256,236",2.6,20.9,1.27,79.2,12.4,4.6,"71,399",-2.1,"-32,381",45.85,13.9,30.5,48.2,25.35,24.8,South America,UM
221,Estonia,EE,2013.0,"42,388","1,279,726",-0.58,-0.14,30.2,"-1,772",1.59,10.8,0.77,76,3.8,12.2,"15,583",-4.4,"-5,670",74.2,17.8,47.1,64.2,59.6,52.4,Europe,H
222,Ethiopia,ET,2013.0,"1,096,570","89,335,550",2.79,2.76,81.5,"2,460,902",4.61,34.9,2.27,63.9,48.3,7.4,"657,597",0.4,"35,085",59.8,24.3,42.8,62.5,26.1,11.5,Africa,L
223,Finland,FI,2013.0,"303,815","5,430,351",0.46,0.12,17.9,"6,662",1.75,10.7,0.85,80.7,2.3,9.5,"51,472",3.3,"18,048",110.4,44.5,78.8,105.1,108.95,96.75,Europe,H
224,France,FR,2013.0,"640,427","65,972,844",0.53,0.38,103,"250,493",2.05,12.4,1,82,3.3,8.6,"570,130",1.5,"97,795",109.86,42.4,77.48,101.24,108.4,100.54,Europe,H
