,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
590,United States,US,2016.0,"9,151,125","323,071,755",0.73,0.37,35.3,"1,201,627",--,12.2,--,--,--,8.5,"2,744,248",3.2,"1,028,522",76.31979166666666,40.26770833333333,58.996875,79.65520833333333,69.29270833333334,142.15520833333332,North America,H
591,Uruguay,UY,2016.0,"175,015","3,353,404",0.27,0.36,19.2,"12,078",1.81,13,0.89,77.3,9.2,9.4,"31,492",-0.9,"-3,000",57.0,16.3,37.5,47.6,52.0,52.0,South America,H
592,Uzbekistan,UZ,2016.0,"425,400","31,630,582",1.72,1.81,74.4,"571,379",2.49,23,1.19,75,20,4.9,"154,791",-0.8,"-26,248",45.8,12.8,29.9,40.8,29.9,29.7,Asia,LM
593,Vietnam,VN,2016.0,"310,070","97,355,565",1.18,1.21,314,"1,177,142",2.09,17.7,0.98,74.5,16.5,5.6,"547,502",-0.3,"-27,818",42.0,14.7,28.85,41.35,20.1,28.0,Asia,LM
594,Zambia,ZM,2016.0,"743,398","16,408,846",3.06,3.03,22.1,"497,292",4.97,37.3,2.45,64.1,43,6.9,"113,959",0.3,"4,022",55.5,31.9,44.1,40.9,31.9,149.9,Africa,LM
595,Zimbabwe,ZW,2016.0,"386,847","14,382,989",2.42,2.47,37.2,"355,515",3.81,33.3,1.88,62.6,40.9,8.5,"122,756",-0.5,"-7,473",55.2,15.8,36.3,42.8,48.3,34.9,Africa,L
596,Albania,AL,2017.0,"27,398","3,055,278",0.31,0.63,111.5,"19,305",1.51,13.1,0.72,78.8,11.6,6.8,"20,613",-3.3,"-10,000",33.5,9.3,21.9,26.7,25.4,33.2,Europe,UM
597,Algeria,DZ,2017.0,"2,381,740","41,506,194",2.05,2.14,17.4,"889,089",3.16,25.5,1.54,77.6,21,4.1,"170,911",-1,"-39,524",36.3,9.6,23.5,36.1,26.2,35.5,Africa,UM
598,Argentina,AR,2017.0,"2,736,690","44,292,731",0.91,0.92,16.2,"408,054",2.26,16.7,1.1,77.3,10.3,7.5,"331,648",-0.1,"-4,249",54.7,15.1,35.7,45.9,53.5,56.9,South America,H
599,Armenia,AM,2017.0,"28,203","3,045,086",-0.21,0.35,108,"10,735",1.64,12.9,0.78,74.9,13.6,9.4,"28,678",-5.7,"-17,227",34.6,10.9,23.2,26.6,32.4,33.3,Asia,UM
600,Australia,AU,2017.0,"7,682,300","24,370,179",1.57,0.58,3.2,"141,847",1.74,12.4,0.85,82.6,3.1,6.6,"160,909",9.9,"241,770",80.2909090909091,41.13636363636363,61.51818181818182,77.42727272727274,76.60909090909091,108.93636363636364,Oceania,H
601,Austria,AT,2017.0,"82,445","8,752,360",0.46,-0.01,106.2,"-1,157",1.47,9.5,0.72,81.6,3.4,9.6,"84,244",4.8,"41,557",66.15,25.85,46.85,58.0,62.85,105.9,Europe,H
602,Azerbaijan,AZ,2017.0,"82,629","10,227,206",0.92,0.91,123.8,"93,104",1.87,15.1,0.88,75.3,11,6,"61,184",0.1,"1,172",28.6,11.0,20.1,24.0,30.1,30.6,Asia,UM
603,Bahrain,BH,2017.0,760,"1,410,746",2.26,1.05,"1,856.20","14,817",1.75,13.2,0.86,79,11.2,2.7,"3,852",12.1,"17,027",58.3,30.9,45.2,53.7,52.4,101.2,Asia,H
604,Bangladesh,BD,2017.0,"130,170","157,720,078",1.03,1.34,"1,211.60","2,109,575",2.17,18.7,1.06,73.4,34.3,5.3,"841,333",-3.1,"-480,958",37.3,6.7,22.7,33.0,26.5,38.6,Asia,LM
605,Belarus,BY,2017.0,"202,900","9,687,585",-0.13,-0.17,47.7,"-16,775",1.52,10.6,0.74,74.5,2.4,12.3,"119,303",0.4,"3,874",34.7,12.6,24.1,28.2,37.9,36.4,Europe,UM
606,Belgium,BE,2017.0,"30,278","11,482,059",0.69,0.15,379.2,"16,734",1.78,11.3,0.87,81,3.4,9.9,"113,086",5.4,"62,270",79.4,26.85,54.225,75.075,80.80000000000001,89.1,Europe,H
607,Bermuda,BM,2017.0,54,"70,928",0.45,0.28,"1,313.50",195,1.93,11.3,0.94,81.2,2.3,8.5,604,1.8,125,141.8,113.4,128.2,131.8,151.4,96.5,North America,H
608,Brazil,BR,2017.0,"8,358,140","209,969,058",0.81,0.83,25.1,"1,731,637",1.78,14.4,0.87,75.7,12.8,6.1,"1,280,763",-0.1,"-23,334",54.08888888888889,16.266666666666666,35.95555555555556,42.84444444444445,43.28888888888889,44.72222222222222,South America,UM
609,Bulgaria,BG,2017.0,"108,489","7,100,884",-0.62,-0.59,65.5,"-41,790",1.46,8.7,0.71,74.7,8.6,14.5,"103,253",-0.3,"-2,056",36.46666666666667,8.233333333333333,22.96666666666667,31.066666666666663,30.166666666666668,48.86666666666667,Europe,UM
610,Cambodia,KH,2017.0,"176,515","15,660,221",1.55,1.75,88.7,"274,325",2.54,23.4,1.24,69.5,32.2,5.9,"92,257",-2,"-31,976",50.3,19.9,35.7,54.2,24.4,20.6,Asia,LM
611,Canada,CA,2017.0,"9,093,507","36,731,939",0.86,0.27,4,"98,519",1.55,10.2,0.75,83.5,4.5,7.6,"277,772",5.9,"215,703",70.9,28.636,50.64,69.892,65.908,108.404,North America,H
612,Chile,CL,2017.0,"743,812","17,786,791",0.77,0.74,23.9,"130,782",1.8,13.5,0.88,78.9,7.1,6.2,"109,539",0.3,"6,000",53.6,18.0,36.5,47.0,51.4,56.3,South America,H
613,China,CN,2017.0,"9,326,410","1,389,787,047",0.52,0.53,149,"7,365,195",1.62,12.3,0.76,77.3,7.9,7,"9,724,093",-0.1,"-192,000",50.575,31.275,41.35,52.475,35.025,72.42500000000001,Asia,UM
614,Colombia,CO,2017.0,"1,038,700","45,744,428",0.8,1.06,44,"486,672",1.96,15.9,0.96,78,12.3,5.3,"241,794",-2.6,"-120,606",34.36666666666667,10.0,22.7,29.666666666666668,25.1,37.2,South America,UM
615,Costa Rica,CR,2017.0,"51,060","4,954,649",1.17,0.95,97,"47,290",1.72,13.9,0.84,80.1,6.9,4.3,"21,521",2.1,"10,475",62.2,21.6,42.7,63.3,48.4,44.7,North America,UM
616,Croatia,HR,2017.0,"55,974","4,292,667",-0.49,-0.33,76.7,"-13,992",1.4,9,0.68,76.1,9.5,12.2,"52,402",-1.7,"-7,180",48.325,10.4,30.15,40.9,38.05,57.1,Europe,H
617,Cyprus,CY,2017.0,"9,241","1,221,929",1.33,0.46,132.2,"5,612",1.47,11.3,0.72,78.8,9.3,6.7,"8,152",8.7,"10,628",59.05,15.6,38.25,49.650000000000006,65.25,97.5,Europe,H
618,Denmark,DK,2017.0,"42,434","5,773,404",0.66,0.16,136.1,"9,008",1.78,10.8,0.86,80.9,3.2,9.3,"53,486",5,"29,000",83.96666666666667,32.9,59.5,64.06666666666666,100.46666666666664,102.06666666666666,Europe,H
619,Dominican Republic,DO,2017.0,"48,320","10,225,318",0.99,1.25,211.6,"127,402",2.3,19,1.13,70.9,24.2,6.6,"66,982",-2.6,"-26,098",53.6,13.6,34.4,47.7,43.8,25.8,North America,UM
620,Ecuador,EC,2017.0,"248,360","16,529,880",1.4,1.54,66.6,"254,028",2.46,19.7,1.2,81.3,11.7,4.3,"70,777",-1.4,"-22,319",48.56666666666666,13.4,31.73333333333333,47.1,34.800000000000004,36.43333333333334,South America,UM
621,El Salvador,SV,2017.0,"20,721","6,303,924",1.06,1.32,304.2,"83,136",2.12,19.1,1.03,74.1,13.3,5.9,"37,307",-2.6,"-16,404",48.0,10.2,29.9,43.9,37.8,28.9,North America,LM
622,Estonia,EE,2017.0,"42,388","1,251,222",-0.57,-0.26,29.5,"-3,261",1.6,10.1,0.78,76.8,3.6,12.7,"15,918",-3.1,"-3,923",49.8,14.5,32.9,37.35,50.75,71.15,Europe,H
623,Ethiopia,ET,2017.0,"1,096,570","99,977,612",2.74,2.66,91.2,"2,662,818",4.35,33.1,2.14,66.1,40.6,6.5,"644,384",0.8,"77,063",47.0,20.8,34.5,39.7,23.9,15.5,Africa,L
624,Finland,FI,2017.0,"303,815","5,519,372",0.36,0.07,18.2,"3,806",1.75,10.7,0.85,81.1,2.2,10,"55,116",2.9,"15,885",76.76666666666667,28.166666666666668,53.5,65.23333333333333,83.83333333333333,109.8,Europe,H
625,France,FR,2017.0,"640,427","67,094,479",0.47,0.24,104.8,"163,173",1.95,11.5,0.95,82.5,3.2,9,"605,973",2.3,"153,007",72.46666666666667,25.616666666666664,50.03333333333333,66.36666666666666,69.85000000000001,105.66666666666669,Europe,H
626,Georgia,GE,2017.0,"69,700","4,985,761",0.19,0.24,71.5,"11,902",2.14,15,1.03,73.3,20.9,12.6,"62,814",-0.4,"-2,212",28.0,8.9,18.9,22.6,26.9,32.2,Asia,LM
627,Germany,DE,2017.0,"348,672","84,123,624",0.26,-0.16,241.3,"-135,407",1.57,9.3,0.77,81.5,3.2,10.9,"920,308",4.2,"356,410",67.56,26.84,48.05333333333333,51.99333333333333,64.17333333333333,122.3,Europe,H
628,Ghana,GH,2017.0,"227,533","29,479,431",2.43,2.4,129.6,"706,595",3.88,31.1,1.91,67.4,36.5,7.1,"208,640",0.3,"8,891",66.2,49.1,58.0,61.6,46.5,13.3,Africa,LM
629,Greece,GR,2017.0,"130,647","10,698,002",-0.27,-0.33,81.9,"-34,830",1.36,8.3,0.66,80.8,3.7,11.5,"123,383",0.5,"5,710",55.375,10.05,33.625,44.6,54.725,58.975,Europe,H
630,Guatemala,GT,2017.0,"107,159","16,289,862",1.74,2.01,152,"328,145",2.95,25.2,1.44,71.6,29.2,5.1,"82,865",-2.8,"-45,492",45.9,16.5,31.8,41.5,35.6,48.2,North America,UM
631,Hungary,HU,2017.0,"89,608","10,074,518",-0.13,-0.44,112.4,"-44,499",1.49,9.3,0.72,75.6,4.8,13.7,"137,653",3.1,"31,641",43.9,15.0,30.0,34.4,33.1,52.3,Europe,H
632,Iceland,IS,2017.0,"100,250","339,755",1.13,0.73,3.4,"2,482",2,13.7,0.98,83.1,1.7,6.4,"2,167",4,"1,347",111.6,49.7,81.9,104.2,120.4,77.4,Europe,H
633,India,IN,2017.0,"2,973,193","1,327,127,431",1.09,1.11,446.4,"14,763,508",2.21,17.8,1.05,70.6,34.1,6.7,"8,886,263",-0.2,"-263,314",25.9,6.755555555555556,16.737037037037037,26.35925925925926,17.599999999999998,73.18888888888888,Asia,LM
634,Indonesia,ID,2017.0,"1,811,569","265,708,968",0.93,1.03,146.7,"2,725,053",2.19,17,1.07,71.7,22,6.8,"1,795,284",-1,"-258,506",43.53333333333333,15.033333333333331,29.9,48.73333333333333,22.633333333333336,28.3,Asia,LM
635,Iraq,IQ,2017.0,"437,367","36,345,459",2.22,2.28,83.1,"829,495",3.64,27.5,1.77,70.1,23.2,4.7,"170,820",-0.6,"-23,414",61.1,18.5,40.6,43.8,59.2,41.3,Asia,UM
636,Ireland,IE,2017.0,"68,883","4,860,044",0.94,0.65,70.6,"31,406",1.74,12.7,0.85,82.1,3,6.3,"30,418",3,"14,431",77.775,34.025,56.825,67.075,77.525,109.075,Europe,H
637,Israel,IL,2017.0,"21,497","8,391,005",1.78,1.56,390.3,"130,978",3.1,20.7,1.51,82.6,3,5.1,"42,919",2.2,"18,000",78.69999999999999,29.975,55.35,64.95,85.425,90.025,Asia,H
638,Italy,IT,2017.0,"294,140","61,498,899",0,-0.31,209.1,"-190,910",1.25,7.5,0.6,82.4,3.2,10.6,"649,061",3.1,"188,330",77.07222222222222,22.927777777777777,51.13333333333333,67.01666666666667,76.35,65.25555555555555,Europe,H
639,Jamaica,JM,2017.0,"10,831","2,813,518",-0.01,0.9,259.8,"25,232",2.1,16.6,1.02,74.2,12.8,7.6,"21,469",-9.1,"-25,566",65.4,15.7,41.6,65.7,38.0,36.1,North America,UM
640,Japan,JP,2017.0,"364,485","126,215,286",-0.22,-0.29,346.3,"-365,798",1.43,7.8,0.7,84.1,2,10.7,"1,349,011",0.8,"94,438",91.0,41.9,67.4,94.8,55.9,98.6,Asia,H
641,Jordan,JO,2017.0,"88,802","10,247,507",2.05,2.05,115.4,"209,725",3.19,23.9,1.55,74.8,15.6,3.4,"35,023",0,0,61.8,13.9,38.8,53.7,57.3,41.7,Asia,UM
642,Kazakhstan,KZ,2017.0,"2,699,700","18,823,798",1.27,1.39,7,"261,222",2.64,20.7,1.28,73.4,13.5,6.9,"128,995",-1.2,"-22,130",32.7,13.1,23.3,26.2,33.8,49.6,Asia,UM
643,Kenya,KE,2017.0,"569,140","50,035,005",2.29,2.33,87.9,"1,165,167",3.67,28.8,1.82,67.6,33.2,5.6,"277,993",-0.4,"-19,249",42.4,14.2,28.9,39.8,34.5,28.6,Africa,LM
644,Kuwait,KW,2017.0,"17,818","2,876,506",1.46,1.71,161.4,"49,032",2.4,19.2,1.17,78.2,8.1,2.2,"6,192",-2.4,"-7,024",91.4,39.1,66.3,107.5,52.7,77.0,Asia,H
645,Latvia,LV,2017.0,"62,249","1,945,078",-1.07,-0.48,31.2,"-9,263",1.51,9.8,0.74,74.7,5.2,14.5,"28,223",-5.9,"-11,461",49.2,12.9,31.8,36.6,45.6,52.0,Europe,H
646,Lebanon,LB,2017.0,"10,230","6,223,873",-1.11,0.93,608.4,"57,715",1.72,14.2,0.84,77.8,7.8,5,"30,910",-20.4,"-126,733",64.3,36.7,51.1,48.0,60.9,51.8,Asia,UM
647,Libya,LY,2017.0,"1,759,540","6,483,076",2.17,2.02,3.7,"131,173",3.3,25.4,1.61,71.9,14.6,5.2,"33,496",1.4,"9,227",49.1,19.9,35.1,47.8,34.5,51.8,Africa,UM
648,Lithuania,LT,2017.0,"62,680","2,825,940",-1.03,-0.47,45.1,"-13,184",1.59,10,0.77,74.9,3.8,14.6,"41,312",-5.6,"-15,871",46.7,12.45,30.3,36.15,40.45,52.1,Europe,H
649,Luxembourg,LU,2017.0,"2,586","594,319",1.98,0.43,229.8,"2,558",1.62,11.5,0.79,82.5,3.4,7.2,"4,274",15.5,"9,220",79.8,51.2,66.1,64.8,94.2,117.1,Europe,H
650,Malaysia,MY,2017.0,"328,657","32,040,544",1.22,1.06,97.5,"340,517",1.92,15.9,0.93,75.5,6.9,5.3,"168,168",1.6,"50,000",42.78,11.2,27.62,47.74,21.2,68.84,Asia,UM
651,Maldives,MV,2017.0,298,"392,156",-0.09,1.19,"1,316.00","4,649",1.73,15.8,0.84,75.8,28.9,3.9,"1,542",-12.7,"-4,986",61.2,32.1,47.2,60.5,42.7,29.0,Asia,UM
652,Malta,MT,2017.0,316,"444,458",1.07,0.23,"1,406.50","1,025",1.47,10,0.72,82.6,4.8,7.7,"3,431",8.4,"3,711",68.7,29.8,50.1,61.5,75.6,77.2,Europe,H
653,Mexico,MX,2017.0,"1,943,945","124,883,590",1.02,1.09,64.2,"1,364,649",1.99,16.7,0.97,74.8,13.6,5.7,"714,823",-0.8,"-93,823",31.642857142857142,9.37142857142857,20.97142857142857,29.728571428571428,27.957142857142856,59.67142857142857,North America,UM
654,Moldova,MD,2017.0,"32,891","3,740,498",-1.72,-0.36,113.7,"-13,465",1.19,9.2,0.57,70.1,13.8,12.8,"48,001",-13.6,"-50,677",28.9,8.5,19.1,22.6,20.5,29.5,Europe,LM
655,Mongolia,MN,2017.0,"1,553,556","3,067,699",1.18,1.26,2,"38,770",2.09,18.9,1.02,69.9,22.4,6.3,"19,302",-0.8,"-2,500",57.2,29.8,44.0,56.7,31.5,22.4,Asia,LM
656,Montenegro,ME,2017.0,"13,452","616,284",-0.33,0.16,45.8,"1,003",1.83,12.1,0.9,76.7,3.5,10.4,"6,428",-4.9,"-3,005",39.0,11.3,25.7,30.9,32.5,49.6,Europe,UM
657,Morocco,MA,2017.0,"716,550","34,968,788",1.07,1.25,48.8,"438,421",2.4,19.2,1.17,72.3,21.6,6.6,"231,107",-1.8,"-63,925",39.05,12.85,26.5,35.0,24.95,42.55,Africa,LM
658,Nepal,NP,2017.0,"143,351","29,313,646",1.09,1.38,204.5,"404,419",2.12,19.4,1.03,71,28.2,5.6,"164,560",-2.9,"-84,491",32.4,4.4,19.0,29.3,18.5,24.5,Asia,L
659,Netherlands,NL,2017.0,"33,893","17,089,200",0.59,0.12,504.2,"19,622",1.63,9.9,0.79,81.6,3.5,8.8,"150,214",4.7,"80,666",73.3375,32.4,53.7,59.35,80.7875,99.6875,Europe,H
660,New Zealand,NZ,2017.0,"264,537","4,700,525",1.74,0.58,17.8,"27,048",1.89,12.7,0.92,81.8,3.6,6.9,"32,607",11.7,"54,759",81.375,33.6,58.475,73.4,77.275,104.625,Oceania,H
661,Nigeria,NG,2017.0,"910,768","198,312,085",2.54,2.57,217.7,"5,086,494",4.92,35.5,2.39,58.7,65.2,9.9,"1,960,125",-0.2,"-41,578",42.5,19.4,31.4,38.6,23.1,29.8,Africa,LM
662,North Macedonia,MK,2017.0,"25,433","2,114,687",0.2,0.12,83.1,"2,519",1.48,10.9,0.72,75.7,8.1,9.7,"20,439",0.9,"1,805",34.5,8.1,21.9,27.8,26.1,39.7,Europe,UM
663,Norway,NO,2017.0,"304,282","5,279,516",0.71,0.3,17.4,"15,859",1.63,10.7,0.79,82.6,2.3,7.7,"40,774",4,"21,349",108.825,41.55,76.6,99.8,119.95,103.3,Europe,H
664,Oman,OM,2017.0,"309,500","3,415,807",2.02,2.06,11,"70,518",2.82,24,1.37,75.7,16,3.3,"11,376",-0.4,"-1,480",54.4,32.6,43.9,48.9,59.2,119.4,Asia,H
665,Pakistan,PK,2017.0,"770,875","219,176,700",2.15,2.24,284.3,"4,914,489",3.83,29,1.87,68.1,60.8,6.5,"1,431,805",-1,"-207,835",31.73333333333333,7.399999999999999,20.1,28.633333333333336,24.5,41.86666666666667,Asia,LM
666,Panama,PA,2017.0,"74,340","3,932,333",2.48,1.42,52.9,"55,648",2.52,19.4,1.22,78.5,14.8,5.2,"20,524",10.7,"41,905",64.2,37.4,51.4,65.8,56.6,35.1,North America,H
667,Paraguay,PY,2017.0,"397,302","6,940,221",1.18,1.19,17.5,"82,263",1.9,16.6,0.93,77.3,26,4.7,"32,609",-0.1,-504,34.1,9.9,22.5,28.2,26.1,38.8,South America,UM
668,Peru,PE,2017.0,"1,279,996","30,282,393",0.41,1.35,23.7,"407,497",2.36,18.9,1.15,76.9,11.3,5.5,"165,346",-9.3,"-282,668",43.0,19.8,31.9,39.5,31.0,44.4,South America,UM
669,Philippines,PH,2017.0,"298,170","104,862,154",1.55,1.66,351.7,"1,741,360",2.79,22.3,1.36,70.8,22.4,5.7,"599,639",-1.1,"-112,461",38.55,12.083333333333334,25.866666666666664,37.55,21.96666666666667,37.78333333333333,Asia,LM
670,Poland,PL,2017.0,"304,255","38,504,942",-0.02,-0.02,126.6,"-8,937",1.45,10.2,0.7,77.8,4.4,10.4,"400,168",0,"1,400",37.86,13.43,26.14,29.79,30.610000000000003,69.6,Europe,H
671,Portugal,PT,2017.0,"91,470","10,370,571",-0.28,-0.23,113.4,"-23,432",1.38,8.3,0.67,80.8,2.6,10.6,"109,586",-0.5,"-5,406",48.25,15.775,32.7,38.8,38.5,65.25,Europe,H
672,Puerto Rico,PR,2017.0,"8,869","3,352,108",-1.74,-0.04,378,"-1,396",1.22,8.1,0.59,80.8,6.5,8.5,"28,637",-16.9,"-56,789",72.4,27.0,50.7,67.3,71.9,79.2,North America,H
673,Qatar,QA,2017.0,"11,586","2,316,205",2.28,0.83,199.9,"19,188",1.91,9.7,0.95,78.8,7.2,1.4,"3,286",14.5,"33,623",69.0,67.1,68.1,55.4,72.4,111.7,Asia,H
674,Romania,RO,2017.0,"229,891","19,558,508",-0.92,-0.25,85.1,"-47,892",1.83,11,0.89,75.6,6.8,13.4,"262,811",-6.7,"-131,202",35.61666666666667,9.6,23.15,29.45,29.28333333333333,50.91666666666666,Europe,UM
675,Rwanda,RW,2017.0,"24,668","11,899,254",2.45,2.43,482.4,"289,124",3.87,30.7,1.91,64.3,29.7,6.4,"75,720",0.2,"2,082",41.3,13.7,28.1,32.7,28.2,27.3,Africa,L
676,Saudi Arabia,SA,2017.0,"2,149,690","32,567,388",1.7,1.31,15.1,"425,334",2.11,16.3,1.03,75.5,13.7,3.3,"105,789",3.9,"128,038",54.0,15.15,35.375,52.575,32.575,131.2,Asia,H
677,Serbia,RS,2017.0,"77,474","6,978,391",-0.56,-0.56,90.1,"-38,828",1.46,9.3,0.71,74.9,5.5,14.9,"103,722",0,0,35.3,8.2,22.3,26.05,29.75,39.8,Europe,UM
678,Singapore,SG,2017.0,709,"5,637,272",1.06,0.61,"7,951.00","34,621",1.16,9.8,0.57,85.2,1.6,3.7,"20,657",4.4,"25,000",82.4,70.2,76.6,71.7,58.3,92.7,Asia,H
679,Slovenia,SI,2017.0,"20,151","2,101,369",0.04,-0.04,104.3,-773,1.58,9.4,0.77,81.1,1.6,9.8,"20,601",0.8,"1,597",58.7,17.7,39.1,48.2,48.7,72.2,Europe,H
680,South Africa,ZA,2017.0,"1,214,470","56,019,667",1.19,1.32,46.1,"741,795",2.43,20.7,1.2,69.2,24.4,7.5,"417,981",-1.4,"-77,310",43.333333333333336,19.266666666666666,31.8,36.23333333333333,39.5,98.73333333333332,Africa,UM
681,Spain,ES,2017.0,"498,980","46,268,801",0.29,-0.07,92.7,"-31,342",1.37,8.5,0.67,82.7,2.7,9.2,"424,523",3.5,"163,272",56.57000000000001,19.78,38.94,46.95,53.52,85.87,Europe,H
682,Sri Lanka,LK,2017.0,"64,630","21,012,393",-0.14,0.88,325.1,"184,702",2.19,15.3,1.07,76.4,7.3,6.5,"136,845",-10.2,"-214,495",38.2,12.2,25.8,39.8,21.6,24.9,Asia,LM
683,Sweden,SE,2017.0,"410,335","10,094,338",1.21,0.23,24.6,"23,373",1.77,11.4,0.86,82.5,2.3,9.1,"91,972",9.8,"98,869",75.1,30.675,53.8,67.7,78.175,115.125,Europe,H
684,Switzerland,CH,2017.0,"39,997","8,418,657",0.63,0.24,210.5,"20,410",1.54,10.4,0.74,83.3,3.4,8,"66,971",3.9,"32,436",123.91428571428573,57.68571428571429,92.17142857142858,122.88571428571429,122.34285714285714,109.25714285714284,Europe,H
685,Tanzania,TZ,2017.0,"885,800","55,303,380",3.07,3.02,62.4,"1,668,191",4.79,36.2,2.36,67.3,37.5,6.1,"334,892",0.5,"26,959",56.2,32.3,44.7,43.1,37.1,25.3,Africa,L
686,Thailand,TH,2017.0,"510,890","68,607,190",0.38,0.35,134.3,"238,108",1.53,10.8,0.74,76.4,7,7.3,"500,169",0.3,"18,843",46.475,16.45,32.075,52.85,24.0,38.5,Asia,UM
687,Tunisia,TN,2017.0,"155,360","11,403,062",1.01,1.18,73.4,"134,865",2.23,18.2,1.08,75.7,13.3,6.3,"72,106",-1.7,"-19,517",30.9,7.2,19.5,29.2,20.6,38.5,Africa,LM
688,Ukraine,UA,2017.0,"579,330","43,940,088",-0.54,-0.54,75.8,"-236,601",1.38,9.3,0.67,71.8,8.1,14.7,"647,090",0,0,26.08333333333333,8.450000000000001,17.633333333333336,19.716666666666665,19.883333333333333,27.883333333333336,Europe,LM
689,United Arab Emirates,AE,2017.0,"83,600","9,543,192",1.07,0.96,114.2,"91,728",1.69,10.9,0.82,78.6,5.6,1.3,"12,691",1.1,"10,460",66.63333333333334,58.86666666666667,62.9,55.93333333333334,57.93333333333334,121.9,Asia,H
690,United Kingdom,GB,2017.0,"241,930","65,783,069",0.67,0.24,271.9,"157,591",1.76,11.5,0.86,81.3,3.9,9.1,"597,450",4.3,"284,544",69.1076923076923,30.79615384615385,50.74230769230769,57.51153846153846,75.32307692307693,99.61153846153846,Europe,H
691,United States,US,2017.0,"9,151,125","325,122,128",0.63,0.32,35.5,"1,041,997",--,11.9,--,--,--,8.7,"2,813,503",2.5,"827,150",77.53750000000001,42.375,60.69107142857143,78.9375,72.95089285714286,121.7875,North America,H
692,Uruguay,UY,2017.0,"175,015","3,362,462",0.27,0.36,19.2,"12,039",1.8,13,0.88,77.4,9,9.4,"31,510",-0.9,"-3,000",70.2,19.3,45.8,56.5,67.8,32.4,South America,H
693,Vietnam,VN,2017.0,"310,070","98,482,273",1.12,1.15,317.6,"1,131,092",2.04,17.1,0.96,74.6,16.2,5.7,"557,096",-0.3,"-27,000",42.8,17.6,30.75,42.05,22.3,27.15,Asia,LM
694,Zimbabwe,ZW,2017.0,"386,847","14,735,230",2.42,2.39,38.1,"352,722",3.7,32.2,1.82,63.2,39.6,8.2,"121,349",0.3,"3,719",52.5,15.4,34.7,42.5,42.3,26.5,Africa,L
695,Albania,AL,2018.0,"27,398","3,064,357",0.29,0.62,111.8,"18,853",1.52,13.1,0.73,78.9,11.5,6.9,"21,177",-3.3,"-10,000",39.3,10.0,25.2,31.8,32.1,38.0,Europe,UM
696,Algeria,DZ,2018.0,"2,381,740","42,343,850",1.95,2.04,17.8,"864,911",3.1,24.5,1.51,77.8,20.4,4.1,"173,089",-0.9,"-39,164",37.1,8.6,23.4,38.4,22.9,33.4,Africa,UM
697,Argentina,AR,2018.0,"2,736,690","44,693,790",0.89,0.9,16.3,"402,453",2.25,16.5,1.09,77.5,10.1,7.5,"333,331",-0.1,"-4,142",56.0,15.6,36.5,48.2,56.5,60.0,South America,UM
698,Armenia,AM,2018.0,"28,203","3,038,152",-0.24,0.32,107.7,"9,631",1.64,12.6,0.78,75.1,13.3,9.4,"28,673",-5.6,"-17,007",34.1,9.4,22.2,27.7,31.8,32.5,Asia,UM
699,Australia,AU,2018.0,"7,682,300","24,748,006",1.5,0.58,3.2,"142,371",1.74,12.4,0.85,82.6,3.1,6.7,"165,018",9.3,"229,665",83.2909090909091,42.67272727272727,63.7090909090909,80.16363636363636,81.7090909090909,123.2,Oceania,H
700,Austria,AT,2018.0,"82,445","8,790,907",0.42,-0.02,106.6,"-1,569",1.48,9.5,0.72,81.7,3.4,9.7,"85,228",4.4,"38,264",82.83333333333333,29.766666666666666,57.26666666666667,78.66666666666667,75.53333333333335,100.13333333333333,Europe,H
701,Azerbaijan,AZ,2018.0,"82,629","10,315,182",0.79,0.78,124.8,"80,035",1.76,13.7,0.82,75.6,11,5.9,"61,124",0.2,"1,640",31.3,9.6,20.9,27.9,32.3,29.2,Asia,UM
702,Bahrain,BH,2018.0,760,"1,442,415",2.18,1.03,"1,897.90","14,825",1.73,13,0.85,79.2,11.1,2.8,"3,976",11.6,"16,668",59.0,30.7,45.3,57.6,54.8,67.6,Asia,H
703,Bangladesh,BD,2018.0,"130,170","159,341,784",1.01,1.32,"1,224.10","2,095,753",2.15,18.5,1.05,73.7,33.5,5.4,"854,280",-3,"-480,958",33.6,6.8,20.7,31.9,23.5,37.7,Asia,LM
704,Belarus,BY,2018.0,"202,900","9,672,800",-0.17,-0.27,47.7,"-26,032",1.43,9.7,0.69,74.6,2.1,12.4,"120,042",1,"9,362",35.3,11.3,23.7,28.6,38.1,43.8,Europe,UM
705,Belgium,BE,2018.0,"30,278","11,559,893",0.66,0.14,381.8,"16,475",1.78,11.3,0.87,81.1,3.4,9.8,"113,603",5.2,"60,191",85.575,30.075,58.825,75.9,94.675,95.8,Europe,H
706,Bermuda,BM,2018.0,54,"71,240",0.43,0.26,"1,319.30",183,1.93,11.2,0.94,81.4,2.3,8.7,617,1.7,122,145.4,110.9,128.8,143.5,158.8,112.3,North America,H
