Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
Mexico,58.0,19.0,43.96666666666667,50.43333333333334,48.56666666666666,59.03333333333333,2012,North America
Moldova,47.8,12.3,35.0,38.6,40.3,27.6,2012,Europe
Monaco,128.2,173.1,144.3,89.8,138.1,62.3,2012,Europe
Mongolia,53.9,24.0,43.1,57.9,37.8,22.6,2012,Asia
Montenegro,63.95,18.4,47.55,49.05,60.05,37.8,2012,Europe
Morocco,75.5,36.5,61.5,74.5,54.8,15.0,2012,Africa
Netherlands,110.8,64.6,94.2,69.9,114.9,88.8,2012,Europe
New Zealand,103.56666666666666,33.93333333333333,78.53333333333335,97.13333333333333,86.76666666666667,90.3,2012,Oceania
Nicaragua,46.6,11.1,33.8,45.1,31.3,41.1,2012,North America
North Macedonia,46.5,11.7,34.0,35.2,35.8,34.4,2012,Europe
Norway,162.75,62.675,126.75,154.075,161.85,85.45,2012,Europe
Pakistan,40.1,7.7,28.4,37.3,31.7,23.5,2012,Asia
Peru,59.5,19.9,45.3,51.4,43.3,34.8,2012,South America
Philippines,45.7,15.080000000000002,34.68,45.1,25.8,30.98,2012,Asia
Poland,50.6,17.775,38.7875,40.25,40.45,60.0125,2012,Europe
Portugal,73.66666666666667,21.866666666666664,55.06666666666666,59.93333333333334,52.9,56.36666666666667,2012,Europe
Puerto Rico,90.8,31.2,69.3,69.3,73.7,30.5,2012,North America
Qatar,84.7,63.5,77.1,81.6,70.8,153.0,2012,Asia
Romania,50.81666666666666,12.25,36.93333333333333,41.56666666666666,36.166666666666664,35.983333333333334,2012,Europe
Russia,64.62,22.580000000000002,49.5,50.839999999999996,64.92,41.46,2012,Europe
Saudi Arabia,112.0,19.9,78.9,138.4,41.6,70.5,2012,Asia
Serbia,51.26666666666667,12.866666666666667,37.43333333333334,36.06666666666667,44.53333333333333,31.733333333333334,2012,Europe
Singapore,96.1,90.7,94.1,82.8,65.1,93.3,2012,Asia
Slovakia,65.4,25.2,50.95,51.55,46.6,51.7,2012,Europe
Slovenia,75.30000000000001,28.35,58.400000000000006,59.3,59.45,54.55,2012,Europe
South Africa,74.2,38.3,61.3,59.7,55.4,89.4,2012,Africa
South Korea,70.5,37.1,58.5,71.0,50.6,121.5,2012,Asia
Spain,85.31428571428572,29.0,65.04285714285714,61.74285714285714,83.11428571428571,87.42857142857143,2012,Europe
Sweden,106.7,34.36666666666667,80.66666666666667,90.13333333333333,116.63333333333334,99.06666666666666,2012,Europe
Switzerland,145.325,70.9,118.55,139.0,118.35000000000001,128.3,2012,Europe
Syria,55.5,14.2,40.6,41.9,41.1,20.5,2012,Asia
Taiwan,65.7,23.2,50.4,82.4,33.9,76.0,2012,Asia
Thailand,52.6,26.4,43.2,63.5,29.7,29.5,2012,Asia
Turkey,64.675,15.75,47.075,48.9,46.675,50.425,2012,Asia
Ukraine,59.9,31.7,49.7,41.8,61.9,27.8,2012,Europe
United Arab Emirates,84.6,74.35,80.9,69.44999999999999,85.5,142.25,2012,Asia
