,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
51,United States,US,2010,North America,H,9151125,309327143,--,--,33.8,--,--,--,--,--,--,--,--,--,--,95.59,55.61,77.73,95.48,79.65,107.66
52,Argentina,AR,2011,South America,UM,2736690,41791721,1.04,1.05,15.3,439254,2.38,18.1,1.15,76.3,11.7,7.6,318788,-0.1,-4893,56.8,19.5,43.4,51.3,44.3,49.1
53,Armenia,AM,2011,Asia,LM,28203,3069561,-0.08,0.52,108.8,16089,1.63,14.4,0.76,73.4,15.5,9.2,28135,-6,-18483,58.7,25.9,46.9,27.6,47.4,17.4
54,Australia,AU,2011,Oceania,H,7682300,22183001,1.63,0.7,2.9,154685,1.92,13.6,0.93,81.7,3.8,6.6,146932,9.3,205710,113.18,54.32,92.05,112.1,95.77,113.35
55,Austria,AT,2011,Europe,H,82445,8475092,0.37,0.01,102.8,819,1.43,9.2,0.69,81,3.6,9.1,77290,3.6,30705,105.9,47.2,84.8,90.7,81.2,97.1
56,Azerbaijan,AZ,2011,Asia,UM,82629,9470313,1.54,1.52,114.6,143655,2.38,21.5,1.1,73.7,11,6.3,59780,0.2,1697,67.3,59.5,64.5,47,57.8,33
57,Belarus,BY,2011,Europe,UM,202900,9662547,-0.17,-0.27,47.6,-25994,1.47,11.3,0.71,71.1,3.9,14,135090,1,9900,50.6,19.1,39.3,40.5,58.4,20.6
58,Belgium,BE,2011,Europe,H,30278,10962547,0.92,0.21,362.1,23363,1.82,11.6,0.89,80.4,3.5,9.5,104292,7,77223,110.9,40.9,85.7,86.45,115.25,82.6
59,Bolivia,BO,2011,South America,LM,1083301,10211406,1.83,1.94,9.4,198189,3.17,25.6,1.55,70.8,31.1,6.2,62793,-1.1,-11540,39,16.6,31,25.9,28,58.9
60,Brazil,BR,2011,South America,UM,8358140,199602770,0.88,0.88,23.9,1748017,1.76,14.7,0.86,73.8,17,5.9,1182681,0.1,9578,77.04,28.63,59.66,49.39,53.58,55.76
61,Bulgaria,BG,2011,Europe,UM,108489,7350505,-0.56,-0.51,67.8,-37269,1.46,9.7,0.71,73.5,10.2,14.7,108258,-0.5,-3970,56.7,20.8,43.8,47.8,38.6,36.2
62,Canada,CA,2011,North America,H,9093507,34581269,1.08,0.36,3.8,125761,1.6,10.7,0.78,82.9,4.8,7.1,244601,7.2,248360,93.39,42.36,75.05,99.38,72.55,106.53
63,Chile,CL,2011,South America,UM,743812,16915465,0.91,0.87,22.7,147827,1.88,14.4,0.92,78,7.7,5.7,96420,0.4,6000,64.7,18.1,48,52.5,59.1,57.5
64,China,CN,2011,Asia,UM,9326410,1347848260,0.52,0.53,144.5,7184296,1.51,12.1,0.7,75.4,12.4,6.8,9169395,-0.2,-219000,47.03,22,38.07,50.93,30.1,33.17
65,Colombia,CO,2011,South America,UM,1038700,44100903,0.64,1.17,42.5,515904,2.04,17,1,75.8,14.4,5.3,231728,-5.3,-232656,56.45,15.65,41.8,46.7,36,30.5
66,Costa Rica,CR,2011,North America,UM,51060,4585733,1.43,1.17,89.8,53738,1.9,16,0.93,78.1,9.2,4.3,19722,2.6,11932,76.4,24.4,57.7,84.6,66.8,37.5
67,Croatia,HR,2011,Europe,H,55974,4403676,-0.32,-0.22,78.7,-9822,1.38,9.4,0.67,75,9.4,11.6,51019,-1,-4165,68.55,19.65,51,64.35,46.45,41.8
68,Cyprus,CY,2011,Europe,H,9241,1120567,1.62,0.5,121.3,5590,1.45,11.4,0.71,77.8,10.3,6.4,7190,11.2,12560,87.2,30.2,66.7,76.8,90.8,92.1
69,Denmark,DK,2011,Europe,H,42434,5570463,0.37,0.12,131.3,6482,1.76,10.6,0.86,79.7,3.4,9.4,52516,2.6,14340,114.7,67.2,97.65,96.95,127.3,88.4
70,Dominican Republic,DO,2011,North America,UM,48320,9576493,1.21,1.43,198.2,136659,2.48,20.7,1.21,69.4,27.2,6.4,61532,-2.2,-20871,64.1,26.7,50.7,57.5,47.7,34.7
71,Ecuador,EC,2011,South America,UM,248360,15205119,1.46,1.75,61.2,265988,2.76,22.2,1.34,78.2,13.4,4.7,71018,-2.9,-44085,55,19.3,42.2,56.7,39.3,38.5
72,Estonia,EE,2011,Europe,H,42388,1297236,-0.45,-0.04,30.6,-565,1.63,11.3,0.79,75.7,2.6,11.8,15244,-4.1,-5326,62,17.4,46,45.6,66.9,65.8
73,Finland,FI,2011,Europe,H,303815,5379679,0.49,0.17,17.7,9376,1.83,11.2,0.9,80.3,2.5,9.4,50585,3.1,16821,102.7,54.3,85.3,91.2,93.3,106.2
74,France,FR,2011,Europe,H,640427,65313096,0.48,0.44,102,286110,2.07,12.7,1.01,81.8,3.4,8.4,546230,0.4,27077,106.1,44.63,84.03,88.7,108.87,83.53
