,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
262,Poland,PL,2013,Europe,H,304255,38613020,-0.09,-0.04,126.9,-15567,1.26,9.6,0.61,77.1,4.6,10,386261,-0.5,-19904,55.76,18.23,37.74,45.92,41.82,53.28
263,Portugal,PT,2013,Europe,H,91470,10534203,-0.57,-0.23,115.2,-23767,1.22,7.9,0.6,80.2,2.8,10.1,106553,-3.4,-36232,74.43,22.9,49.7,60.6,55.48,55.28
264,Puerto Rico,PR,2013,North America,H,8869,3589468,-1.4,0.21,404.7,7370,1.49,10.2,0.72,79.7,7.2,8.1,29114,-16,-57533,82.1,25.9,55.1,80.3,72.3,89.1
265,Qatar,QA,2013,Asia,H,11586,2043293,4.19,0.87,176.4,17745,1.93,10.1,0.96,78.1,7.8,1.4,2952,33.3,67935,84.4,84.1,84.2,75,81.2,147.5
266,Romania,RO,2013,Europe,UM,229891,20136346,-0.52,-0.18,87.6,-35542,1.62,10.7,0.79,75.2,8.1,12.4,250466,-3.4,-68504,54.44,14.76,35.4,49.16,38.34,34.54
267,Saudi Arabia,SA,2013,Asia,H,2149690,30162427,2.17,1.52,14,458726,2.36,18.3,1.15,74.6,14.9,3.1,94044,6.4,194144,78.15,18.1,49.3,70.1,37.55,104.95
268,Serbia,RS,2013,Europe,UM,77474,7124084,-0.49,-0.49,92,-34746,1.41,9.2,0.68,74.8,6.2,14.1,100300,0,0,56.95,13.75,36.2,45.7,45.05,37.15
269,Singapore,SG,2013,Asia,H,709,5383565,1.17,0.71,7593.2,38072,1.19,10.6,0.58,84.1,1.7,3.5,18757,4.6,25000,106.3,103,104.7,92.9,63.9,59.7
270,Slovenia,SI,2013,Europe,H,20151,2095552,0.11,0.09,104,1777,1.53,10.1,0.75,80.1,3.3,9.2,19334,0.2,487,80.35,25.1,53.85,70.75,60.35,57.25
271,South Africa,ZA,2013,Africa,UM,1214470,53509160,0.74,1.31,44.1,702356,2.43,21.4,1.2,66.6,29.5,8.2,439873,-5.7,-304609,65.6,25.33,46.3,55.9,53.63,96.67
272,Spain,ES,2013,Europe,H,498980,46290810,-0.47,0.08,92.8,35296,1.32,9.2,0.64,82.4,2.7,8.4,390419,-5.4,-251531,83.53,28.9,57.31,65.82,80.92,88.4
273,Sri Lanka,LK,2013,Asia,LM,64630,20831730,0.56,1.1,322.3,228453,2.33,17.6,1.13,74.9,8.5,6.6,137309,-5.4,-112529,50.2,19.7,35.6,55.3,31,36.3
274,Sudan,SD,2013,Africa,LM,1861484,37257113,2.28,2.82,20,1051089,5.17,36,2.52,64,50.9,7.8,289077,-5.5,-203051,71.1,29.2,51,72.6,40.6,26.6
275,Sweden,SE,2013,Europe,H,410335,9647647,0.79,0.24,23.5,23141,1.87,11.8,0.91,81.9,2.6,9.4,90402,5.5,53093,114.13,41.9,79.47,103.83,112.43,103.33
276,Switzerland,CH,2013,Europe,H,39997,8140760,0.9,0.22,203.5,17770,1.48,10.2,0.72,82.6,3.6,8,64961,6.8,55579,148.67,70.1,110.97,148.8,136.97,140.33
277,Tanzania,TZ,2013,Africa,L,885800,48767600,3.06,3.05,55.1,1489014,4.99,37.8,2.46,64.2,44.5,7.2,353150,0,1029,57.2,18.7,38.7,58.1,27,30
278,Thailand,TH,2013,Asia,UM,510890,67413873,0.56,0.43,132,291573,1.55,11.5,0.75,74.8,8.3,7.2,484479,1.2,83358,52.37,22.17,37.87,58.57,26.17,33.73
279,Tunisia,TN,2013,Africa,UM,155360,10901720,1.2,1.41,70.2,154149,2.4,20.5,1.16,74.8,14.4,6.4,69320,-2.2,-23592,50.6,12.8,32.4,44.7,41.3,28.8
280,Ukraine,UA,2013,Europe,LM,579330,45388613,-0.28,-0.35,78.3,-158712,1.51,11.1,0.73,71.1,8.4,14.6,662368,0.7,31913,50.93,18.98,35.58,42.35,44.55,30.5
281,United Arab Emirates,AE,2013,Asia,H,83600,8930981,3.73,0.93,106.8,82680,1.66,10.5,0.82,77.9,6.4,1.2,10859,28.1,250602,72.15,71.8,71.95,63.05,66.05,123.95
282,United Kingdom,GB,2013,Europe,H,241930,63872733,0.66,0.33,264,210925,1.89,12.2,0.92,81,3.9,8.9,567861,3.3,209112,106.37,43.41,76.16,97.81,101.16,91.43
283,United States,US,2013,North America,H,9151125,316059947,0.7,0.42,34.5,1335188,--,12.4,--,--,--,8.2,2596993,2.8,891740,85.27,42.94,64.95,86.76,71.97,131.54
284,Uruguay,UY,2013,South America,H,175015,3326597,0.26,0.38,19,12760,1.86,13.3,0.91,76.7,9.6,9.4,31404,-1.3,-4200,80.9,26.7,54.9,71,71.4,38.8
285,Vietnam,VN,2013,Asia,LM,310070,93859918,1.25,1.29,302.7,1207108,2.1,18.4,0.98,74.1,17.3,5.5,518991,-0.3,-30272,47.95,24.65,36.75,43.35,24.55,27.85
286,Albania,AL,2014,Europe,UM,27398,3026779,0.31,0.64,110.5,19493,1.49,12.7,0.71,78.7,11.8,6.2,18861,-3.3,-10000,51.9,12,32.5,43.5,40.5,33.7
287,Algeria,DZ,2014,Africa,UM,2381740,38979603,2.1,2.18,16.4,850968,3.05,26,1.49,76.8,22.7,4.2,163032,-0.9,-33418,42,14.3,28.5,41.5,31,26.6
288,Argentina,AR,2014,South America,H,2736690,43057355,0.98,0.99,15.7,424250,2.32,17.5,1.12,76.7,10.8,7.6,327212,-0.1,-4571,71.3,19.8,46.3,66.7,66.1,57.8
289,Armenia,AM,2014,Asia,LM,28203,3060577,-0.13,0.46,108.5,14112,1.64,13.9,0.77,74.1,14.5,9.3,28488,-5.9,-17984,47.6,14.6,31.6,37.6,42.8,23.6
290,Australia,AU,2014,Oceania,H,7682300,23292143,1.4,0.63,3,146117,1.81,12.9,0.88,82.2,3.3,6.6,153580,7.7,178750,106.91,53.69,81.07,103.42,99.33,104.39
291,Austria,AT,2014,Europe,H,82445,8615171,0.59,-0.01,104.5,-390,1.45,9.4,0.71,81.3,3.5,9.4,81033,6,51435,84.4,32.5,59.15,83.6,73.6,101.3
292,Azerbaijan,AZ,2014,Asia,UM,82629,9881865,1.28,1.27,119.6,125413,2.18,19.1,1.01,74,11,6.4,62846,0.1,1064,63.1,34.3,49.1,54.5,65.4,25.1
293,Bahrain,BH,2014,Asia,H,760,1314023,2.48,1.12,1729,14750,1.81,13.9,0.89,78.6,11.7,2.7,3496,13.6,17867,60.7,33,47.3,59.1,62.9,71.6
294,Bangladesh,BD,2014,Asia,LM,130170,152955073,1.02,1.41,1175,2162238,2.25,19.4,1.1,72.6,36.7,5.3,806589,-3.9,-602070,42.6,8,25.8,43.6,27.9,35
295,Belarus,BY,2014,Europe,UM,202900,9663837,0.13,-0.03,47.6,-3005,1.66,12.3,0.8,73.3,2.8,12.6,121505,1.6,15722,51.8,17.6,35.2,47.9,56.4,36.2
296,Belgium,BE,2014,Europe,H,30278,11234661,0.77,0.16,371.1,17428,1.79,11.4,0.87,80.5,3.5,9.9,110942,6.1,68509,97.83,34.83,67.23,89.15,105.78,90.53
297,Bolivia,BO,2014,South America,LM,1083301,10762990,1.68,1.79,9.9,192211,2.95,23.7,1.44,72,26.5,5.9,63290,-1.1,-11595,38.7,11.9,25.7,38.6,22.9,44.3
298,Botswana,BW,2014,Africa,UM,566730,2112235,1.61,1.3,3.7,27489,2.71,23.3,1.33,61.5,33.1,10.2,21627,3.1,6549,49.2,14.7,32.4,44.8,40.2,45.4
299,Brazil,BR,2014,South America,UM,8358140,204830402,0.87,0.86,24.5,1764941,1.78,14.6,0.87,74.8,14.8,6,1229676,0.1,17978,60.58,21.15,41.44,49.25,48.32,49.39
300,Bulgaria,BG,2014,Europe,UM,108489,7228135,-0.57,-0.54,66.6,-38783,1.44,9.1,0.7,74.3,8.8,14.4,104173,-0.3,-2112,48.37,10.3,29.87,44.03,38.37,36.67
301,Cambodia,KH,2014,Asia,L,176515,14966008,1.05,1.9,84.8,283884,2.64,25.1,1.29,68.4,35.6,6.1,91485,-8.5,-126457,60.2,20.2,40.8,75.1,27.4,18.2
302,Canada,CA,2014,North America,H,9093507,35748891,0.87,0.35,3.9,125279,1.61,10.7,0.78,83.3,4.9,7.2,258821,5.2,186591,89.02,33.48,62.04,97.29,75.84,102.02
303,Chile,CL,2014,South America,H,743812,17363760,0.84,0.8,23.3,139179,1.84,13.9,0.9,78.4,7.4,5.9,102841,0.4,6000,60.9,19.6,40.8,55.2,50.2,54.4
304,China,CN,2014,Asia,UM,9326410,1369685822,0.54,0.55,146.9,7553920,1.57,12.3,0.73,76.5,9.8,6.8,9321243,-0.2,-210000,59.17,26.73,43.4,63.64,40.96,43.83
305,Colombia,CO,2014,South America,UM,1038700,44901421,0.63,1.1,43.2,494597,1.97,16.3,0.96,76.9,13.3,5.3,235751,-4.7,-212555,52.6,17.1,35.3,49.05,38,33.8
306,Costa Rica,CR,2014,North America,UM,51060,4771560,1.26,1.08,93.5,51274,1.82,15.1,0.89,79.1,8,4.3,20520,1.8,8737,70.1,23.1,47.3,74.8,58.9,34.3
307,Croatia,HR,2014,Europe,H,55974,4356748,-0.49,-0.26,77.8,-11273,1.37,9.1,0.67,75.4,10,11.7,50839,-2.4,-10220,67.46,13.42,41.2,63.4,50.46,48.86
308,Cyprus,CY,2014,Europe,H,9241,1172653,1.48,0.49,126.9,5759,1.46,11.4,0.71,78.3,9.8,6.5,7643,9.9,11595,91.47,20.83,57.17,84.03,91.1,65.8
309,Denmark,DK,2014,Europe,H,42434,5647207,0.6,0.1,133.1,5530,1.69,10.1,0.82,80.6,4.1,9.1,51340,5,28337,113.95,36.98,76.53,99.33,135.85,99.05
310,Dominican Republic,DO,2014,North America,UM,48320,9912674,1.09,1.33,205.1,131440,2.37,19.7,1.16,70.1,25.7,6.4,63781,-2.4,-23484,58.8,15.1,37.6,59.4,44.7,39.5
311,Ecuador,EC,2014,South America,UM,248360,15880468,1.38,1.61,63.9,256008,2.56,20.6,1.25,79.7,12.2,4.5,71094,-2.4,-37477,47.65,15.55,32.05,53.45,27.1,27.1
312,El Salvador,SV,2014,North America,LM,20721,6178552,0.2,1.33,298.2,82354,2.14,19.2,1.04,73.4,14,5.9,36479,-11.4,-70232,57.1,9.6,34.1,57.3,41,19.9
313,Estonia,EE,2014,Europe,H,42388,1272393,-0.57,-0.17,30,-2127,1.59,10.7,0.78,76.2,3.8,12.3,15698,-4,-5099,66.65,17.7,42.85,57.8,53.75,50.55
314,Ethiopia,ET,2014,Africa,L,1096570,91946018,2.96,2.75,83.8,2528645,4.57,34.6,2.25,64.5,46.2,7.1,653276,2.1,196304,54.9,21.8,38.8,54.5,26.4,12
315,Finland,FI,2014,Europe,H,303815,5454465,0.43,0.11,18,6012,1.75,10.7,0.86,80.8,2.2,9.6,52444,3.2,17508,103.58,34.93,70.23,100.15,99.08,94.18
316,France,FR,2014,Europe,H,640427,66293132,0.44,0.39,103.5,261151,2.06,12.4,1.01,82.5,3.2,8.4,558878,0.5,31135,102.3,36.3,70.24,102.22,96.39,84.67
317,Georgia,GE,2014,Asia,LM,69700,4953609,0.27,0.4,71.1,19881,2.31,17,1.11,72.6,22,13,64298,-1.3,-6543,47.8,12.8,30.8,37.5,45.5,24.2
318,Germany,DE,2014,Europe,H,348672,82375634,0.5,-0.18,236.3,-150035,1.47,8.7,0.72,81.3,3.2,10.5,864962,6.8,560672,89.21,32.78,61.78,80.51,79.61,114.41
319,Ghana,GH,2014,Africa,LM,227533,27349575,2.63,2.58,120.2,705658,4.18,33.6,2.06,66,40.5,7.8,213697,0.5,12732,63.8,40,52.3,69.5,58.1,14.1
320,Greece,GR,2014,Europe,H,130647,10801129,-0.75,-0.2,82.7,-21591,1.32,8.5,0.64,80.9,3.7,10.5,113740,-5.5,-58846,84.02,15.24,50.58,73.94,82.26,44.22
321,Guatemala,GT,2014,North America,LM,107159,15425047,1.94,2.18,143.9,336530,3.18,27.1,1.55,70.8,31.1,5.2,80711,-2.4,-37500,52.9,16.4,35.2,55.4,33.3,37.7
322,Hungary,HU,2014,Europe,H,89608,9917924,0.19,-0.37,110.7,-36806,1.41,9.3,0.68,75.4,4.8,13.1,129467,5.6,55148,58.45,9.75,34.85,48.1,46.7,50.55
323,Iceland,IS,2014,Europe,H,100250,327872,1.25,0.78,3.3,2554,2.03,14,0.99,82.9,1.7,6.2,2038,4.7,1535,113.8,42.3,79,122.9,106.7,58.6
324,India,IN,2014,Asia,LM,2973193,1282483039,1.19,1.21,431.3,15474576,2.33,19,1.11,69.1,39.1,7,8939789,-0.2,-276925,27.05,6.54,17.09,29.37,16.77,59.67
325,Indonesia,ID,2014,Asia,LM,1811569,257934026,1.06,1.18,142.4,3031002,2.33,18.5,1.14,71,24.3,6.7,1736269,-1.2,-295840,41.18,14.04,28.02,45.02,22.72,23.6
326,Iraq,IQ,2014,Asia,UM,437367,33992998,2.45,2.46,77.7,836929,3.94,29.8,1.92,68.7,25.8,5.2,174894,-0.1,-2924,56.85,25.4,41.55,48,53.6,34.5
327,Ireland,IE,2014,Europe,H,68883,4711554,0.86,0.81,68.4,38043,1.87,14.3,0.91,81.4,3.3,6.2,29252,0.5,2412,107.03,38.13,73.57,104.8,104.07,100.73
328,Israel,IL,2014,Asia,H,21497,7948689,1.84,1.62,369.8,128832,3.13,21.3,1.53,82.2,3.2,5.1,40706,2.2,17459,94.2,31.13,63.57,80.75,96.67,70.05
329,Italy,IT,2014,Europe,H,294140,61504156,0.07,-0.16,209.1,-95768,1.3,8.2,0.63,82.6,3.1,9.7,598364,2.3,141303,98.21,32.63,66.36,86.35,104.32,71.94
330,Jamaica,JM,2014,North America,UM,10831,2818580,-0.12,0.95,260.2,26895,2.14,17.2,1.04,73.4,13.9,7.6,21472,-10.7,-30235,77.9,26.3,52.8,73.9,49.5,84.9
331,Japan,JP,2014,Asia,H,364485,126845084,-0.16,-0.19,348,-242831,1.42,8.2,0.69,83.6,2.1,10.1,1285178,0.3,36386,91.33,38.5,65.63,94.67,59.37,103.57
332,Jordan,JO,2014,Asia,UM,88802,8998365,9.29,2.02,101.3,182095,3.16,23.7,1.54,74.1,16.7,3.5,31310,72.6,653522,63.9,15.8,40.6,56.1,58.8,37.6
333,Kazakhstan,KZ,2014,Asia,UM,2699700,18075103,1.41,1.48,6.7,267127,2.66,22.1,1.29,71.7,18.7,7.3,132148,-0.7,-12162,65.3,23.9,45.2,54,69,41.8
334,Kenya,KE,2014,Africa,LM,569140,46653387,2.54,2.5,82,1166835,3.95,31.1,1.96,66.2,36.7,6.1,282484,0.4,16405,57.5,22.4,40.5,61.3,37.8,28.8
335,Kuwait,KW,2014,Asia,H,17818,2743334,1.7,1.82,154,49873,2.53,20.3,1.24,77.7,8.5,2.1,5761,-1.1,-3123,83,40.6,62.4,105,59,85.6
336,Latvia,LV,2014,Europe,H,62249,2007714,-1.05,-0.42,32.3,-8368,1.5,10.1,0.73,74,5.4,14.3,28611,-6.3,-12708,67.8,18.4,43.8,55.2,55.8,40.8
337,Lebanon,LB,2014,Asia,UM,10230,5878034,9.37,0.98,574.6,57446,1.74,14.7,0.85,77.2,8.2,5,29186,83.9,493053,73.6,36.1,55.4,57.4,75.1,40.5
338,Libya,LY,2014,Africa,UM,1759540,6100968,2.13,2.16,3.5,131670,3.43,27.9,1.67,69.3,16.2,6.3,38257,-0.3,-1689,60.3,32,46.5,66.8,53.3,35.5
339,Lithuania,LT,2014,Europe,H,62680,2914439,-1.03,-0.4,46.5,-11505,1.58,10.1,0.77,74.4,3.8,14.1,41049,-6.3,-18467,61.7,14.15,38.6,53.8,40.95,40.85
340,Luxembourg,LU,2014,Europe,H,2586,558008,2.23,0.42,215.8,2360,1.61,11.3,0.78,82.4,3.4,7.1,3939,18,10066,108.9,66.6,88.4,94.1,124.9,131.2
341,Malaysia,MY,2014,Asia,UM,328657,30819786,1.39,1.23,93.8,378295,2.09,17.2,1.01,75.5,6.9,4.9,150317,1.6,50000,48.94,14.34,32.14,47.3,25.81,70.41
342,Malta,MT,2014,Europe,H,316,430028,0.92,0.21,1360.8,921,1.43,9.8,0.67,82,4.5,7.6,3270,7.1,3039,85.5,20.7,54,78.5,72.2,82.7
343,Mauritius,MU,2014,Africa,UM,2030,1293747,0.22,0.36,637.3,4704,1.33,10.3,0.66,75.5,12.8,6.7,8642,-1.4,-1850,63,35.3,49.5,53.5,60.7,56.1
344,Mexico,MX,2014,North America,UM,1943945,120751101,1.23,1.32,62.1,1591563,2.15,18.5,1.05,74.9,13.5,5.3,638922,-0.9,-103669,49.42,15.17,32.78,49.78,37.88,66.35
345,Moldova,MD,2014,Europe,LM,32891,3881027,-0.87,-0.25,118,-9540,1.23,10.3,0.59,69.3,14.6,12.7,49422,-6.2,-24224,41.6,10.2,26.4,36,31.9,23.4
346,Mongolia,MN,2014,Asia,UM,1553556,2952686,1.36,1.45,1.9,42672,2.22,20.8,1.08,69,23.9,6.4,18831,-0.9,-2500,58.1,27.2,43.1,59.7,39.6,25.4
347,Montenegro,ME,2014,Europe,UM,13452,620897,-0.14,0.24,46.2,1515,1.78,12.1,0.85,76.6,4.9,9.7,6014,-3.8,-2352,60.1,14.5,37.9,52.7,51.4,35.6
348,Morocco,MA,2014,Africa,LM,716550,33823667,1.13,1.35,47.2,456701,2.47,20.2,1.21,71.5,23.6,6.7,225694,-2.3,-76158,46.2,20.2,33.6,38.3,36.6,33.6
349,Namibia,,2014,Africa,UM,823290,2340618,2.04,2.04,2.8,47827,3.5,28.9,1.72,62.8,38.9,8.5,19787,0,0,57,26.8,42.3,53,41.8,35.3
350,Nepal,NP,2014,Asia,L,143351,28291654,1.31,1.52,197.4,430929,2.31,21,1.12,70.1,31,5.7,162505,-2.1,-60080,31.8,4.3,18.5,31.2,21.1,21.9
351,Netherlands,NL,2014,Europe,H,33893,16822334,0.42,0.21,496.3,35958,1.72,10.4,0.84,81.6,3.6,8.3,139223,2.1,35088,100.59,42.56,72.39,80.16,113.87,100.74
352,New Zealand,NZ,2014,Oceania,H,264537,4442509,1.77,0.59,16.8,26180,1.99,12.9,0.96,81.4,3.9,7,31062,11.8,52438,105.53,46.17,76.7,105.27,94.47,86.67
353,Nigeria,NG,2014,Africa,LM,910768,184193052,2.52,2.61,202.2,4808437,5.13,36.9,2.49,56.9,71.3,10.8,1991639,-0.9,-159038,80.7,23.1,52.7,82,63.5,31
354,North Macedonia,MK,2014,Europe,UM,25433,2099581,0.27,0.19,82.6,3878,1.5,11.2,0.73,75.3,9.5,9.4,19718,0.8,1699,49.1,11.3,30.7,39.8,37.1,32.4
355,Norway,NO,2014,Europe,H,304282,5140118,1.11,0.36,16.9,18690,1.77,11.5,0.86,82.1,2.3,7.9,40394,7.4,38155,146.13,63.85,106.18,136.45,167.43,96.78
356,Oman,OM,2014,Asia,H,309500,3212578,2.05,2.1,10.4,67485,2.86,24.4,1.39,75,17,3.4,10892,-0.5,-1536,58.1,34.5,46.6,56.7,44.6,112
357,Pakistan,PK,2014,Asia,LM,770875,206054670,2.13,2.37,267.3,4878380,4.1,30.6,2,67.1,65.4,7,1435926,-2.4,-495109,31.8,5.35,18.95,29.73,25.58,32.1
358,Panama,PA,2014,North America,UM,74340,3716141,1.74,1.5,50,55804,2.59,20.2,1.26,77.6,14.9,5.2,19393,2.4,8727,58,36.3,47.5,64.4,52.8,44.9
359,Peru,PE,2014,South America,UM,1279996,29936720,0.42,1.49,23.4,445224,2.47,20.2,1.21,76.1,12.8,5.3,159225,-10.7,-320415,56.2,21.8,39.5,51.7,40.7,37
360,Philippines,PH,2014,Asia,LM,298170,100125736,1.71,1.81,335.8,1808495,2.96,23.7,1.44,70.6,23.4,5.6,560569,-1,-99403,43.98,13.46,29.14,45.18,24.3,30.2
361,Poland,PL,2014,Europe,H,304255,38579185,-0.08,-0.04,126.8,-16400,1.29,9.7,0.63,77.3,4.6,10.1,389279,-0.4,-15800,52.74,16.53,35.15,44.46,42.31,56.62
362,Portugal,PT,2014,Europe,H,91470,10477254,-0.51,-0.22,114.5,-22476,1.24,7.9,0.6,80.6,2.9,10,104843,-3,-31422,68.43,20.57,45.18,57.3,53.67,52.88
363,Puerto Rico,PR,2014,North America,H,8869,3534091,-1.72,0.12,398.5,4375,1.43,9.7,0.7,79.5,6.8,8.5,30047,-18.4,-64967,77.7,26.3,52.7,81.5,70.2,80.4
364,Qatar,QA,2014,Asia,H,11586,2124222,3.59,0.86,183.3,18229,1.93,10,0.95,78.3,7.6,1.4,3043,27.3,57948,74.8,76.3,75.5,69.7,78.5,129.1
365,Romania,RO,2014,Europe,UM,229891,20016775,-0.68,-0.27,87.1,-53107,1.56,10.1,0.76,75.3,8,12.8,255604,-4.1,-81989,49.1,11.56,30.86,45.3,36.36,34.67
366,Saudi Arabia,SA,2014,Asia,H,2149690,30801971,2.03,1.47,14.3,452335,2.29,17.8,1.12,74.8,14.6,3.2,96944,5.7,173882,84.5,16.97,51.7,97.87,36.47,79.63
367,Serbia,RS,2014,Europe,UM,77474,7089319,-0.49,-0.49,91.5,-34786,1.44,9.4,0.7,74.8,5.8,14.3,101247,0,0,51.1,9.47,30.9,43.1,38.4,35.53
368,Singapore,SG,2014,Asia,H,709,5447896,1.2,0.75,7683.9,40589,1.25,11,0.61,84.4,1.7,3.5,19207,4.6,25000,101.3,99.8,100.5,91.6,62.1,64
369,Slovenia,SI,2014,Europe,H,20151,2097579,0.09,0.11,104.1,2279,1.56,10.1,0.76,80.7,3.1,9,18886,-0.2,-490,74.3,20.7,48.3,64.85,60.75,60.2
370,South Africa,ZA,2014,Africa,UM,1214470,54051691,1.27,1.33,44.5,716095,2.43,21.3,1.2,67.3,28.2,8,433174,-0.5,-28780,47.96,17.36,33.1,42.92,41.96,94.74
371,Spain,ES,2014,Europe,H,498980,46151087,-0.14,0.07,92.5,31765,1.37,9.3,0.66,82.5,2.9,8.6,395830,-2.1,-94976,74.68,26.23,51.15,63.64,73.93,70.58
372,Sri Lanka,LK,2014,Asia,LM,64630,20834529,-0.53,1.03,322.4,213481,2.28,16.8,1.11,75.4,8,6.5,136263,-15.5,-323806,43.7,12.6,28.6,52.5,25.5,30.7
373,Sweden,SE,2014,Europe,H,410335,9736574,1.04,0.27,23.7,25892,1.87,11.8,0.91,82.2,2.2,9.1,88976,7.8,75729,104.53,38.47,72.43,100.77,103.47,105.2
374,Switzerland,CH,2014,Europe,H,39997,8212709,0.86,0.26,205.3,21349,1.52,10.4,0.73,83,3.6,7.8,63938,6,49201,143.66,63.96,104.93,151.93,140.87,138.99
375,Tajikistan,TJ,2014,Asia,LM,141510,8304941,2.64,2.71,58.7,224741,3.8,32.8,1.85,69.2,31.6,5.7,47427,-0.7,-5696,51.2,12.6,32.4,45.2,38.9,9.1
376,Tanzania,TZ,2014,Africa,L,885800,50275034,3.03,3.06,56.8,1536380,4.96,37.5,2.44,65,42.9,7,349346,-0.2,-11556,53.9,31.7,43.1,50.5,27.1,20.6
377,Thailand,TH,2014,Asia,UM,510890,67760535,0.47,0.41,132.6,276260,1.54,11.3,0.75,75.2,8,7.2,487969,0.6,42133,45.83,18.9,32.73,52.57,24.47,34.17
378,Tunisia,TN,2014,Africa,UM,155360,11032489,1.19,1.4,71,154145,2.4,20.3,1.16,75,14.1,6.4,70033,-2.1,-23163,42.4,11.5,27.4,40.2,31.8,32.6
379,Uganda,UG,2014,Africa,L,197100,34909711,3.44,3.76,177.1,1312901,6.01,44.4,2.96,64.7,41.1,6.8,236641,-3.2,-112518,63.4,16.4,40.6,66.1,30.9,25.5
380,Ukraine,UA,2014,Europe,LM,579330,44939342,-1.72,-0.38,77.6,-171743,1.51,10.9,0.73,71.2,8.4,14.7,660176,-13.4,-600000,47.2,16.32,32.18,40.63,43.32,31.38
381,United Arab Emirates,AE,2014,Asia,H,83600,9170474,1.59,0.92,109.7,84564,1.66,10.5,0.82,78.1,6.1,1.2,11296,6.7,61139,66.6,69.85,68.2,58.95,65.4,111.55
382,United Kingdom,GB,2014,Europe,H,241930,64346449,0.82,0.33,266,214491,1.87,12.1,0.91,81.3,3.9,8.7,561801,4.9,312905,103.16,43,73.94,97.55,105.28,91.28
383,United States,US,2014,North America,H,9151125,318386329,0.74,0.43,34.8,1361658,--,12.5,--,--,--,8.2,2626418,3.2,1008622,81.2,40.65,61.49,87.59,71.66,122.94
384,Uruguay,UY,2014,South America,H,175015,3335299,0.27,0.37,19.1,12444,1.84,13.2,0.9,76.9,9.4,9.4,31441,-1.1,-3600,87.55,26.95,58.1,70.7,100.45,35.9
385,Uzbekistan,UZ,2014,Asia,LM,425400,30540354,1.73,1.86,71.8,568275,2.48,23.5,1.19,74.5,20.8,4.9,149761,-1.3,-38562,52.4,14.2,33.8,53.1,47.6,25.6
386,Vietnam,VN,2014,Asia,LM,310070,95031568,1.23,1.26,306.5,1195916,2.09,18.2,0.98,74.3,17,5.6,528488,-0.3,-29454,48.15,16.2,32.65,42.5,24,25.45
387,Zimbabwe,ZW,2014,Africa,L,386847,13791770,2.08,2.63,35.7,362575,4.02,35.4,1.98,61.4,43.5,9.1,125927,-5.5,-75299,70.5,21.3,46.6,67.7,53.9,27.8
388,Afghanistan,AF,2015,Asia,L,652230,32547550,2.31,2.46,49.9,799446,5.33,38.5,2.6,50.9,118.1,14,454433,-1.5,-49013,61.6,11.1,36.9,50.2,48.9,25.3
389,Albania,AL,2015,Europe,UM,27398,3036304,0.32,0.64,110.8,19558,1.5,12.9,0.71,78.7,11.7,6.4,19451,-3.3,-10000,44.2,9.5,27.2,35.3,36.2,34.4
390,Algeria,DZ,2015,Africa,UM,2381740,39806186,2.1,2.2,16.7,874501,3.11,26.1,1.51,77.1,22.1,4.2,165499,-1,-38885,36.9,11.6,24.5,34.6,32.6,31.6
391,Angola,AO,2015,Africa,UM,1246700,27292819,3.62,3.56,21.9,972379,6.29,45.4,3.1,59.4,71.4,9.8,266704,0.5,14473,116.5,133.9,125,94.8,117,38.8
392,Argentina,AR,2015,South America,UM,2736690,43474406,0.95,0.96,15.9,418887,2.3,17.2,1.11,76.9,10.6,7.6,328604,-0.1,-4463,74.8,21.8,48.9,68.2,72.7,58.7
393,Armenia,AM,2015,Asia,LM,28203,3056294,-0.15,0.43,108.4,13032,1.64,13.6,0.77,74.4,14.2,9.4,28574,-5.8,-17724,41.4,9.7,25.9,33.7,34,28.1
394,Australia,AU,2015,Oceania,H,7682300,23618255,1.39,0.62,3.1,146327,1.82,12.9,0.88,82.1,3.3,6.7,159050,7.7,181030,99.93,48.07,74.59,95.07,92.34,102.73
395,Austria,AT,2015,Europe,H,82445,8664442,0.55,-0.01,105.1,-645,1.46,9.4,0.71,81.4,3.5,9.5,82155,5.6,48142,75.1,27.05,51.65,72.25,69.5,123.1
396,Azerbaijan,AZ,2015,Asia,UM,82629,10006766,1.23,1.22,121.1,122233,2.12,18.2,0.99,75,11,5.9,59462,0.1,1092,60.6,30.9,46.1,52.8,64.7,28.6
397,Bahrain,BH,2015,Asia,H,760,1346509,2.4,1.09,1771.7,14731,1.78,13.6,0.88,78.8,11.6,2.7,3612,13.1,17624,57.6,33.7,45.9,57.7,61.7,67.5
398,Bangladesh,BD,2015,Asia,LM,130170,154500279,0.99,1.38,1186.9,2131280,2.21,19.1,1.08,72.9,35.9,5.3,817059,-3.9,-601035,40.4,6.8,24,40.9,27.4,34.7
